video_id,viewse,comment_count,likes,dislikes 
paRcIxlBq5c                                                                                                                                                                                                                                                    ,133970,1040,7910,122
8ZivfJUezjA                                                                                                                                                                                                                                                    ,132862,435,4678,128
Bze3VoLmTTs                                                                                                                                                                                                                                                    ,203468,1024,10530,142
JgByDCdtNE8                                                                                                                                                                                                                                                    ,174569,497,5616,74
QJb9-ri3cLs                                                                                                                                                                                                                                                    ,685740,17164,70017,354
Bhg9I26EghQ                                                                                                                                                                                                                                                    ,94645,387,4034,242
gxaoefdyJRM                                                                                                                                                                                                                                                    ,42336,178,1353,43
CgjAN_wgmiI                                                                                                                                                                                                                                                    ,851150,4289,2532,361
GJCJme9ILPs                                                                                                                                                                                                                                                    ,71193,838,2488,109
48qcnpCWBq0                                                                                                                                                                                                                                                    ,479732,5656,69709,509
_wVB6pfWwnE                                                                                                                                                                                                                                                    ,119105,2261,22188,84
IE5TzELzvmU                                                                                                                                                                                                                                                    ,38054,256,2217,59
KopT-9VSZn4                                                                                                                                                                                                                                                    ,25639,659,1561,38
5fW5dsc0-5g                                                                                                                                                                                                                                                    ,29746,297,3330,20
LctCTZKdO18                                                                                                                                                                                                                                                    ,29104,499,1421,42
H83cVi2sCJM                                                                                                                                                                                                                                                    ,56046,169,4213,129
fiGSDywrX1Y                                                                                                                                                                                                                                                    ,243870,1159,21168,95
dDBAhxHUkFw                                                                                                                                                                                                                                                    ,25436,147,2262,10
SvYAPV4FEaQ                                                                                                                                                                                                                                                    ,63148,379,3356,20
VquESKGqsDI                                                                                                                                                                                                                                                    ,204101,867,10971,75
6i9UUvxhAlY                                                                                                                                                                                                                                                    ,3013155,7454,125770,1242
Tfaq4UTH7P0                                                                                                                                                                                                                                                    ,1498608,6862,112815,960
XbDKZMy-HEg                                                                                                                                                                                                                                                    ,31674,178,4673,9
hVEgTsmBDw0                                                                                                                                                                                                                                                    ,31483,176,1818,26
Yjf5scyjifU                                                                                                                                                                                                                                                    ,271915,563,1112,362
Pu0lwHPW3RM                                                                                                                                                                                                                                                    ,28700,414,414,36
nQcUJdncTeg                                                                                                                                                                                                                                                    ,5981472,7193,171395,5479
xXP9xBgTFv8                                                                                                                                                                                                                                                    ,1726402,6775,72288,1663
CQZdAK_0PXU                                                                                                                                                                                                                                                    ,288622,1224,4611,156
me5ifeBFaFo                                                                                                                                                                                                                                                    ,1875576,5568,60683,1736
SNCMtOdaIxU                                                                                                                                                                                                                                                    ,17895,31,747,30
M5zO1XSmOg4                                                                                                                                                                                                                                                    ,35215,136,1235,44
Pl_BHQOCFDY                                                                                                                                                                                                                                                    ,49928,208,2241,49
BC19fhyTG_M                                                                                                                                                                                                                                                    ,1840613,45491,372291,4995
6hhNXHojemc                                                                                                                                                                                                                                                    ,526866,1816,6261,498
q6xkWA0Qi98                                                                                                                                                                                                                                                    ,130633,739,19566,137
aw-r_G7rfnU                                                                                                                                                                                                                                                    ,243194,247,3796,57
EAuQBaienc8                                                                                                                                                                                                                                                    ,64134,262,2502,42
17wT_2StvnM                                                                                                                                                                                                                                                    ,169706,1546,1472,188
8mBHDHIb-kM                                                                                                                                                                                                                                                    ,908371,6690,175648,1421
crjugtkXZN4                                                                                                                                                                                                                                                    ,107537,445,5055,131
Yedbkvwm2rY                                                                                                                                                                                                                                                    ,334255,1373,10806,113
TbniWvd5OZ4                                                                                                                                                                                                                                                    ,174261,652,8509,64
G86COtz0xjs                                                                                                                                                                                                                                                    ,41174,377,3005,80
JK3QFj8mD1o                                                                                                                                                                                                                                                    ,8939,14,43,18
_qEfXjdZrWg                                                                                                                                                                                                                                                    ,14018,175,455,7
CHLdNpzdXIY                                                                                                                                                                                                                                                    ,75216,335,3659,32
kFiJG9KZJ3s                                                                                                                                                                                                                                                    ,14225,15,129,8
ZsT3m5jdjr8                                                                                                                                                                                                                                                    ,79879,1048,8910,42
clIvdBfCHOE                                                                                                                                                                                                                                                    ,245716,1496,14401,69
H1Os-ouhHG8                                                                                                                                                                                                                                                    ,15375,62,466,14
FlsCjmMhFmw                                                                                                                                                                                                                                                    ,24784863,462108,1149190,483926
5ELQ6u_5YYM                                                                                                                                                                                                                                                    ,439207,1052,13837,121
aJ9XruZm_Hg                                                                                                                                                                                                                                                    ,253907,1081,9394,1303
Eel8QDRlIGA                                                                                                                                                                                                                                                    ,73092,716,7105,26
1sl5KJ69qiA                                                                                                                                                                                                                                                    ,623483,8814,47405,1013
N9s2YY3g2r0                                                                                                                                                                                                                                                    ,30972,208,1209,12
5Kk5QxB9lWk                                                                                                                                                                                                                                                    ,163769,807,14443,125
PUvVjWR3zTQ                                                                                                                                                                                                                                                    ,69743,170,1503,15
oxI2lyW31zM                                                                                                                                                                                                                                                    ,259162,2592,27989,427
_Jc8hxt6kdU                                                                                                                                                                                                                                                    ,43863,164,1033,44
l4HxWVA59zk                                                                                                                                                                                                                                                    ,65587,107,1253,109
3Xb3eOH4PMA                                                                                                                                                                                                                                                    ,26422,62,925,37
USigj639wTU                                                                                                                                                                                                                                                    ,35354,452,3302,14
r81egea0QPo                                                                                                                                                                                                                                                    ,8328,13,56,0
vPsic3dEndc                                                                                                                                                                                                                                                    ,1184,1,2,0
Zqh2DS7oIbU                                                                                                                                                                                                                                                    ,26295,149,723,39
w4AImq08j9o                                                                                                                                                                                                                                                    ,3901200,42468,352166,4154
r8FQ5wUYm9c                                                                                                                                                                                                                                                    ,1192992,4263,62345,723
UKka73nn1dk                                                                                                                                                                                                                                                    ,154513,432,7499,82
JqA6TZW9-0w                                                                                                                                                                                                                                                    ,818543,1860,44796,485
Q4FZi6_DUO8                                                                                                                                                                                                                                                    ,107558,338,6607,164
YkG4Yvwucxo                                                                                                                                                                                                                                                    ,37789,263,1253,62
Zh4c5IrllBg                                                                                                                                                                                                                                                    ,1773987,6957,72704,1526
Ps-nEyvsCKY                                                                                                                                                                                                                                                    ,342865,439,7820,369
V6cb-D8-vTg                                                                                                                                                                                                                                                    ,43293,350,3397,34
mebZJFd8_Vw                                                                                                                                                                                                                                                    ,443919,2682,17490,513
JhfACxB_KWs                                                                                                                                                                                                                                                    ,12549,263,1991,20
Ic8yK9YLyak                                                                                                                                                                                                                                                    ,343774,939,19470,260
KMmXvAncPqk                                                                                                                                                                                                                                                    ,82245,273,4358,67
bOBL980Xsg4                                                                                                                                                                                                                                                    ,17978,71,876,9
Rm09nLK-Pg8                                                                                                                                                                                                                                                    ,94224,1217,6360,44
Kap77SLzVyI                                                                                                                                                                                                                                                    ,48778,150,1760,108
hNsd-m30m2E                                                                                                                                                                                                                                                    ,314866,1719,30705,284
qLVZiKDNxtw                                                                                                                                                                                                                                                    ,181427,346,1596,325
zslYmBRhdOM                                                                                                                                                                                                                                                    ,13110,589,1977,13
N40CC9Wzd9A                                                                                                                                                                                                                                                    ,64677,53,375,32
AM1pavPRU8E                                                                                                                                                                                                                                                    ,279447,1193,23006,462
GnevZOMl78I                                                                                                                                                                                                                                                    ,892385,1928,42132,1008
15aTCG3as6Q                                                                                                                                                                                                                                                    ,636501,2977,35131,525
LO0FwPXJbi0                                                                                                                                                                                                                                                    ,126489,1065,5435,297
oYL6kldXWkg                                                                                                                                                                                                                                                    ,316768,3030,20125,595
3yt4JsB9psg                                                                                                                                                                                                                                                    ,141841,1301,1832,684
6mDsa-AqNcQ                                                                                                                                                                                                                                                    ,610602,5384,22554,1193
KDPG0YEsD5Q                                                                                                                                                                                                                                                    ,207573,798,16507,62
oUingTdSjC4                                                                                                                                                                                                                                                    ,204032,1767,2858,68
0XR-FwfdOos                                                                                                                                                                                                                                                    ,9787,45,38,37
Yp5R84V1bDU                                                                                                                                                                                                                                                    ,79936,629,741,147
Hi91aDmYI2E                                                                                                                                                                                                                                                    ,73292,917,633,177
WYgBU1U8h8E                                                                                                                                                                                                                                                    ,21044,117,2504,12
Ux7f_eqeLYw                                                                                                                                                                                                                                                    ,23869,88,1694,18
dhF3Y7esoWM                                                                                                                                                                                                                                                    ,491640,7870,113297,295
0lXX3dJUAGY                                                                                                                                                                                                                                                    ,215949,930,9839,363
vgX5M1eVhyw                                                                                                                                                                                                                                                    ,29196,95,1033,26
KXRYlfjlFLk                                                                                                                                                                                                                                                    ,254832,781,4747,428
5wVnr3cahQg                                                                                                                                                                                                                                                    ,33565,482,2947,69
MPhAEcLaiNs                                                                                                                                                                                                                                                    ,1707477,19371,261115,1029
u5Jw7D-c3II                                                                                                                                                                                                                                                    ,74936,126,1653,52
GcbsIv3QdFs                                                                                                                                                                                                                                                    ,1208352,8302,54343,4590
6Do5X8A2HYQ                                                                                                                                                                                                                                                    ,36069,513,804,25
KtqVezaUhkA                                                                                                                                                                                                                                                    ,52500,23,29,3
WsZXJKfJ52g                                                                                                                                                                                                                                                    ,54542,112,1185,58
Ra8PvLtSvCM                                                                                                                                                                                                                                                    ,100327,795,3551,54
OmhvgIgwLeM                                                                                                                                                                                                                                                    ,28679,27,240,6
vn9mMeWcgoM                                                                                                                                                                                                                                                    ,18184886,58902,399200,17473
aj8mN_7Apcw                                                                                                                                                                                                                                                    ,2841875,7459,18080,2484
sZcuF1T4Vxw                                                                                                                                                                                                                                                    ,844326,5701,35973,439
dyBFAX4SDEc                                                                                                                                                                                                                                                    ,1388707,7905,44932,691
vW7H-DKivX8                                                                                                                                                                                                                                                    ,1560395,3480,52035,702
56KYMMGudcU                                                                                                                                                                                                                                                    ,3969182,66232,279199,18662
iWFgvbf_Zu8                                                                                                                                                                                                                                                    ,566874,2182,8176,182
ceJcHUoO734                                                                                                                                                                                                                                                    ,238255,0,5780,1255
m1sdAmSq4vs                                                                                                                                                                                                                                                    ,485902,4102,11847,179
6TOSV3-7hzU                                                                                                                                                                                                                                                    ,367796,644,5196,181
0hcp-eMOn4E                                                                                                                                                                                                                                                    ,56300,862,7096,21
PPCDMi5xmmk                                                                                                                                                                                                                                                    ,1022668,1296,14026,682
kmH6rve3qF0                                                                                                                                                                                                                                                    ,131083,1066,4012,164
rXfnPGGfSh8                                                                                                                                                                                                                                                    ,22252,144,910,30
ntLtNTUCuII                                                                                                                                                                                                                                                    ,2065201,6818,108923,1816
uERIXLWeik0                                                                                                                                                                                                                                                    ,73238,672,3505,282
yqFIrrcmsJI                                                                                                                                                                                                                                                    ,83340,179,1736,65
odfYSiTpXpo                                                                                                                                                                                                                                                    ,75188,585,3177,67
GFMyMxMYDNk                                                                                                                                                                                                                                                    ,152562,491,10767,77
PE6a5Amt7O8                                                                                                                                                                                                                                                    ,73576,61,1187,18
ms9j25XkYoU                                                                                                                                                                                                                                                    ,37929,189,999,57
LPBPma9YJnE                                                                                                                                                                                                                                                    ,80901,3229,3775,295
ECLwG0sHrAw                                                                                                                                                                                                                                                    ,71223,103,848,35
nzlazAyylw8                                                                                                                                                                                                                                                    ,20067,44,453,13
MkR8GY2YBAU                                                                                                                                                                                                                                                    ,78804,650,1878,252
q4_icwNQJJw                                                                                                                                                                                                                                                    ,44784,301,284,97
GZeza5xTeuM                                                                                                                                                                                                                                                    ,258743,1645,17130,341
wf3t5p2XDAg                                                                                                                                                                                                                                                    ,59201,215,1531,34
s3oogx4roPI                                                                                                                                                                                                                                                    ,44490,325,5705,56
mHhZ9jk-DrU                                                                                                                                                                                                                                                    ,481262,2657,7710,1291
tnCbI51JpAM                                                                                                                                                                                                                                                    ,538014,969,12324,2498
oQx3h5D9pwg                                                                                                                                                                                                                                                    ,26847,321,1282,12
bye513KciIk                                                                                                                                                                                                                                                    ,479192,332,4906,328
HKIIgYFhQlE                                                                                                                                                                                                                                                    ,1424905,3941,94579,568
FJgx-_eGRh0                                                                                                                                                                                                                                                    ,24921,126,974,14
wLZIWQnACjc                                                                                                                                                                                                                                                    ,119210,465,9167,47
60Qi7Zv6Wbg                                                                                                                                                                                                                                                    ,56310,657,6155,17
7I1H0ABg4oY                                                                                                                                                                                                                                                    ,27193,259,779,23
Wff1pf2EdS4                                                                                                                                                                                                                                                    ,328611,4028,56700,257
TKc65We4Yhs                                                                                                                                                                                                                                                    ,86693,133,626,118
zhbjf49Lv9o                                                                                                                                                                                                                                                    ,27300,71,1305,10
3XIV3mfc8S0                                                                                                                                                                                                                                                    ,210416,246,1011,49
EA5Tn5Gw_8s                                                                                                                                                                                                                                                    ,46641,150,1885,45
cSp1dM2Vj48                                                                                                                                                                                                                                                    ,3437722,16434,91334,3451
A8HLnDP6uRM                                                                                                                                                                                                                                                    ,1480152,2883,20593,2874
QPn3lUhzaqM                                                                                                                                                                                                                                                    ,196839,1262,8390,238
inZzcTXYowY                                                                                                                                                                                                                                                    ,2340931,31486,343940,1622
rEzEGto67Jw                                                                                                                                                                                                                                                    ,77040,386,906,267
