video_id,viewse,comment_count,likes,dislikes
PoNWU2cox9w                                                                                                                                                                                                                                                    ,704363,841,16352,224
mwpHSMv1pI4                                                                                                                                                                                                                                                    ,359120,1143,15130,223
cpvoCLX8agc                                                                                                                                                                                                                                                    ,33746,33,53,0
KdFRkillEfM                                                                                                                                                                                                                                                    ,102184,603,4517,65
E7q_wbbwGyU                                                                                                                                                                                                                                                    ,6440859,17556,329112,9704
vLVSf_yI_r8                                                                                                                                                                                                                                                    ,1053494,6803,46809,3386
kGOmPmILndU                                                                                                                                                                                                                                                    ,1461166,5596,65224,1824
F6rBIWN8SsM                                                                                                                                                                                                                                                    ,189374,428,861,63
vht9VHo8r5c                                                                                                                                                                                                                                                    ,1101771,936,24917,464
IOd0HGH6xKI                                                                                                                                                                                                                                                    ,212614,319,6222,342
sLJdBmAeB_U                                                                                                                                                                                                                                                    ,87772,192,2617,86
_wM_jY_rass                                                                                                                                                                                                                                                    ,159065,0,1160,1164
mCx26FLXWuI                                                                                                                                                                                                                                                    ,1689382,3414,24186,3330
R59TevgzN3k                                                                                                                                                                                                                                                    ,16846215,34911,258900,33231
iDXlWTRyxgE                                                                                                                                                                                                                                                    ,1189325,11869,21859,7016
z4bLKt9k5dk                                                                                                                                                                                                                                                    ,622041,2104,15706,353
GdR-iTH_f-I                                                                                                                                                                                                                                                    ,286408,1604,3687,320
axVvZrDz60k                                                                                                                                                                                                                                                    ,6383663,23030,316314,4826
Wjq7x2d_s1w                                                                                                                                                                                                                                                    ,245269,472,7641,187
aaOB-ErYq6Y                                                                                                                                                                                                                                                    ,665232,2497,6485,714
FmYMq9EHhdE                                                                                                                                                                                                                                                    ,192138,523,6909,158
NHglTopVlKQ                                                                                                                                                                                                                                                    ,2726528,10318,154747,1684
TQ2uDO5CbYg                                                                                                                                                                                                                                                    ,1962197,11809,137132,2196
4j-ED6tL85o                                                                                                                                                                                                                                                    ,169462,579,6065,116
r1afdZk0qcI                                                                                                                                                                                                                                                    ,3952653,31872,340983,1768
n1rblnOWhmM                                                                                                                                                                                                                                                    ,131756,667,9318,85
3iXwXYflCSI                                                                                                                                                                                                                                                    ,10676,193,812,15
6jV798JxoTY                                                                                                                                                                                                                                                    ,63432,505,3746,76
qYmPNNvfawM                                                                                                                                                                                                                                                    ,226202,503,2734,360
ozkqm2ifMw8                                                                                                                                                                                                                                                    ,205869,446,11198,120
l9nGCJlDclQ                                                                                                                                                                                                                                                    ,53253,83,184,187
28_tNFnMrTk                                                                                                                                                                                                                                                    ,80499,914,5719,28
SMBXARpIqME                                                                                                                                                                                                                                                    ,229753,803,2925,208
rwYd2kIZxk4                                                                                                                                                                                                                                                    ,1160827,3104,4979,397
0Yp9WS6cJFA                                                                                                                                                                                                                                                    ,356364,1604,14775,194
bRlXatOvsZU                                                                                                                                                                                                                                                    ,85851,73,2266,367
X9VlCV1ZflQ                                                                                                                                                                                                                                                    ,593668,2062,21969,294
I1uCGgc-Jag                                                                                                                                                                                                                                                    ,12512,97,460,7
8HON4AswPVk                                                                                                                                                                                                                                                    ,728177,240,4007,71
4GFAZBKZVJY                                                                                                                                                                                                                                                    ,24412837,0,248684,8972
au3S8F08v54                                                                                                                                                                                                                                                    ,2152,9,45,0
hIwRdDcQBEU                                                                                                                                                                                                                                                    ,51301,166,1654,87
Jj0uBQ7j5c4                                                                                                                                                                                                                                                    ,133557,60,1035,62
tSjvx_c4meE                                                                                                                                                                                                                                                    ,165847,836,6850,378
KgBWLAKxi-c                                                                                                                                                                                                                                                    ,411609,3577,14285,517
CCPX4EYrskw                                                                                                                                                                                                                                                    ,52250,40,1550,26
UWl2fVxb-Mc                                                                                                                                                                                                                                                    ,1205578,4337,12193,346
iNf6VErGDLI                                                                                                                                                                                                                                                    ,1498866,4645,67227,1473
JD40Q9esDws                                                                                                                                                                                                                                                    ,180032,657,2666,120
KSbHlycTciM                                                                                                                                                                                                                                                    ,175198,1057,2619,1767
IVRVXYCrr14                                                                                                                                                                                                                                                    ,95090,320,3776,91
ROzC9ZySGos                                                                                                                                                                                                                                                    ,2948664,11789,115031,13504
TUv06BScsp0                                                                                                                                                                                                                                                    ,172393,508,3936,54
dgW5kpeSB1A                                                                                                                                                                                                                                                    ,28202,63,770,30
b-ufhlIlfmA                                                                                                                                                                                                                                                    ,16473,153,803,13
L99Bi097wak                                                                                                                                                                                                                                                    ,79683,120,2470,96
14G7U6pTcFk                                                                                                                                                                                                                                                    ,99578,96,570,42
1eS_17CG9sk                                                                                                                                                                                                                                                    ,64691,954,5540,42
