video_id,title,publish_time 
15aTCG3as6Q                                                                                                                                                                                                                                                    ,I SNUCK INTO YOUTUBE REWIND 2017 (I was invited) | Behind The Scenes | NYC                                                                                                                                                                                     ,2017-12-06 22:46:24
LO0FwPXJbi0                                                                                                                                                                                                                                                    ,Super Mario Cereal!                                                                                                                                                                                                                                            ,2017-12-06 16:39:21
oYL6kldXWkg                                                                                                                                                                                                                                                    ,WE CAN FINALLY START BUILDING OUR DREAM HOME | VLOGMAS DAY 6                                                                                                                                                                                                   ,2017-12-07 04:46:56
3yt4JsB9psg                                                                                                                                                                                                                                                    ,Time Names Its 2017 Person Of The Year: Silence Breakers | Morning Joe | MSNBC                                                                                                                                                                                 ,2017-12-06 14:50:40
6mDsa-AqNcQ                                                                                                                                                                                                                                                    ,India's Geography Problem                                                                                                                                                                                                                                      ,2017-12-05 15:30:01
KDPG0YEsD5Q                                                                                                                                                                                                                                                    ,50 FACTS ABOUT ME FROM THE RIVERDALE SET | Madelaine Petsch                                                                                                                                                                                                    ,2017-12-06 19:42:34
oUingTdSjC4                                                                                                                                                                                                                                                    ,"An ominous force is coming soon to NXT: WWE NXT, Dec. 6, 2017                                                                                                                                                                                                  ",2017-12-07 02:00:01
0XR-FwfdOos                                                                                                                                                                                                                                                    ,David Davis on Brexit: 'we've got 50-60 sector analyses done'                                                                                                                                                                                                  ,2017-12-06 12:02:34
Yp5R84V1bDU                                                                                                                                                                                                                                                    ,Beyonce presents Colin Kaepernick with the Sports Illustrated's Muhammad Ali Legacy Award                                                                                                                                                                      ,2017-12-06 05:19:21
Hi91aDmYI2E                                                                                                                                                                                                                                                    ,Why Is Jerusalem a Controversial Capital?                                                                                                                                                                                                                      ,2017-12-06 02:30:01
WYgBU1U8h8E                                                                                                                                                                                                                                                    ,My Friends Ruined My Tree?! (Clickbait) - COLLABMAS DAY THREE!                                                                                                                                                                                                 ,2017-12-06 17:30:14
Ux7f_eqeLYw                                                                                                                                                                                                                                                    ,At YouTube In New York!! | Vlogmas No.5 | Lucy Moon                                                                                                                                                                                                            ,2017-12-06 18:25:37
dhF3Y7esoWM                                                                                                                                                                                                                                                    ,KARD - Trust Me Official M/V                                                                                                                                                                                                                                   ,2017-12-07 03:00:07
0lXX3dJUAGY                                                                                                                                                                                                                                                    ,Are Intelligent People More Lonely?                                                                                                                                                                                                                            ,2017-12-05 14:00:01
vgX5M1eVhyw                                                                                                                                                                                                                                                    ,Carla Makes Granola Cluster Cookies | From the Test Kitchen | Bon Appétit                                                                                                                                                                                      ,2017-12-06 17:01:10
KXRYlfjlFLk                                                                                                                                                                                                                                                    ,Tracee Ellis Ross’ Children’s Book for Handsy Men                                                                                                                                                                                                              ,2017-12-06 02:24:49
5wVnr3cahQg                                                                                                                                                                                                                                                    ,WHAT I GOT MY GIRLFRIEND FOR CHRISTMAS 👀💕                                                                                                                                                                                                                      ,2017-12-06 16:01:29
MPhAEcLaiNs                                                                                                                                                                                                                                                    ,GOT7 Teenager” Performance Video                                                                                                                                                                                                                               ,2017-12-06 15:00:01
u5Jw7D-c3II                                                                                                                                                                                                                                                    ,"Selena Gomez talks going on tour, Instagram plus more!                                                                                                                                                                                                         ",2017-12-05 14:00:49
GcbsIv3QdFs                                                                                                                                                                                                                                                    ,It's Here!!! CASEY NEISTAT MERCH                                                                                                                                                                                                                               ,2017-12-03 16:40:05
6Do5X8A2HYQ                                                                                                                                                                                                                                                    ,"Rear ended by car with unrestrained child - Melbourne, VIC                                                                                                                                                                                                     ",2017-12-06 04:39:00
KtqVezaUhkA                                                                                                                                                                                                                                                    ,A Few Moments with Christine Keeler                                                                                                                                                                                                                            ,2010-04-23 18:12:20
WsZXJKfJ52g                                                                                                                                                                                                                                                    ,Bridget Everett Performs a Karaoke Version of Miley Cyrus' The Climb                                                                                                                                                                                           ,2017-12-07 10:00:03
Ra8PvLtSvCM                                                                                                                                                                                                                                                    ,Chief Keef Gets Real About His Chicago Come-Up | GGN NEWS                                                                                                                                                                                                      ,2017-12-04 16:18:00
OmhvgIgwLeM                                                                                                                                                                                                                                                    ,TERROR UNIVERSAL - Dig You A Hole [official video]                                                                                                                                                                                                             ,2017-12-01 15:50:31
vn9mMeWcgoM                                                                                                                                                                                                                                                    ,Jurassic World: Fallen Kingdom - Official Trailer [HD]                                                                                                                                                                                                         ,2017-12-08 01:44:25
aj8mN_7Apcw                                                                                                                                                                                                                                                    ,Alita: Battle Angel | Official Trailer [HD] | 20th Century FOX                                                                                                                                                                                                 ,2017-12-08 19:30:09
sZcuF1T4Vxw                                                                                                                                                                                                                                                    ,Fortnite Battle Royale - 50v50 Announce Trailer                                                                                                                                                                                                                ,2017-12-08 02:58:50
dyBFAX4SDEc                                                                                                                                                                                                                                                    ,The Legend of Zelda: Breath of the Wild - Expansion Pass: DLC Pack 2 The Champions’ Ballad Trailer                                                                                                                                                             ,2017-12-08 02:31:28
vW7H-DKivX8                                                                                                                                                                                                                                                    ,Take a Break: The Forum General Manager                                                                                                                                                                                                                        ,2017-12-08 05:44:20
56KYMMGudcU                                                                                                                                                                                                                                                    ,Eminem - Untouchable (Audio)                                                                                                                                                                                                                                   ,2017-12-08 05:00:01
iWFgvbf_Zu8                                                                                                                                                                                                                                                    ,FromSoftware's new project                                                                                                                                                                                                                                     ,2017-12-08 02:00:25
ceJcHUoO734                                                                                                                                                                                                                                                    ,In the Valley of Gods Announcement Trailer                                                                                                                                                                                                                     ,2017-12-08 02:10:51
m1sdAmSq4vs                                                                                                                                                                                                                                                    ,"SOULCALIBUR VI Announcement Trailer | PS4, XB1, PC                                                                                                                                                                                                             ",2017-12-08 02:48:54
6TOSV3-7hzU                                                                                                                                                                                                                                                    ,PLAYERUNKNOWN'S BATTLEGROUNDS - The Game Awards 2017 Gameplay Trailer                                                                                                                                                                                          ,2017-12-08 04:04:56
0hcp-eMOn4E                                                                                                                                                                                                                                                    ,In A Crowd Of Thousands | Cover                                                                                                                                                                                                                                ,2017-12-08 13:01:29
PPCDMi5xmmk                                                                                                                                                                                                                                                    ,Trump Lost To The #MeToo Movement                                                                                                                                                                                                                              ,2017-12-07 08:35:00
kmH6rve3qF0                                                                                                                                                                                                                                                    ,Adrienne and Israel Houghton Perform The Gift                                                                                                                                                                                                                  ,2017-12-08 17:00:06
rXfnPGGfSh8                                                                                                                                                                                                                                                    ,Manic Street Preachers - International Blue (Lyric Video)                                                                                                                                                                                                      ,2017-12-08 08:00:05
ntLtNTUCuII                                                                                                                                                                                                                                                    ,Migos & Marshmello - Danger (from Bright: The Album) [Music Video]                                                                                                                                                                                             ,2017-12-07 17:06:32
uERIXLWeik0                                                                                                                                                                                                                                                    ,SOPHIE - Ponyboy (Official Video)                                                                                                                                                                                                                              ,2017-12-07 14:59:47
yqFIrrcmsJI                                                                                                                                                                                                                                                    ,James Franco and Kate McKinnon Get Beaten by SZA - SNL                                                                                                                                                                                                         ,2017-12-08 15:28:06
odfYSiTpXpo                                                                                                                                                                                                                                                    ,Dreams - TGA 2017 Trailer | PS4                                                                                                                                                                                                                                ,2017-12-08 04:53:03
GFMyMxMYDNk                                                                                                                                                                                                                                                    ,How Star Wars was saved in the edit                                                                                                                                                                                                                            ,2017-12-07 19:00:01
PE6a5Amt7O8                                                                                                                                                                                                                                                    ,Gwen Stefani on Her Experience in the L.A. Fires                                                                                                                                                                                                               ,2017-12-08 14:00:07
ms9j25XkYoU                                                                                                                                                                                                                                                    ,Andy Serkis: Supreme Leader Snoke Is Motivated By Fear  - CONAN on TBS                                                                                                                                                                                         ,2017-12-08 18:56:05
LPBPma9YJnE                                                                                                                                                                                                                                                    ,Daisy Ridley Says REY MORE Powerful than ANAKIN and Mace Windu - Star Wars The Last Jedi Explained                                                                                                                                                             ,2017-12-07 22:37:35
ECLwG0sHrAw                                                                                                                                                                                                                                                    ,Metro Exodus - Game Awards 2017 Trailer                                                                                                                                                                                                                        ,2017-12-08 04:26:06
nzlazAyylw8                                                                                                                                                                                                                                                    ,Lean on Pete | Official Trailer HD | A24                                                                                                                                                                                                                       ,2017-12-07 13:59:55
MkR8GY2YBAU                                                                                                                                                                                                                                                    ,TIME Person of the Year 2017: The Silence Breakers | POY 2017 | TIME                                                                                                                                                                                           ,2017-12-06 12:59:12
q4_icwNQJJw                                                                                                                                                                                                                                                    ,"Tyron Woodley Says McGregor Won't Ever Fight Again, But I'll Beat His Ass If He Does!                                                                                                                                                                          ",2017-12-07 20:41:09
GZeza5xTeuM                                                                                                                                                                                                                                                    ,Taylor Swift - …Ready for It? (BloodPop® Remix) (Audio)                                                                                                                                                                                                        ,2017-12-06 20:03:12
wf3t5p2XDAg                                                                                                                                                                                                                                                    ,Beyond Good and Evil 2: First Ship and Crew Update | Ubiblog | Ubisoft [US]                                                                                                                                                                                    ,2017-12-07 18:24:03
s3oogx4roPI                                                                                                                                                                                                                                                    ,Easy Quick Holiday Glam!                                                                                                                                                                                                                                       ,2017-12-07 01:12:07
mHhZ9jk-DrU                                                                                                                                                                                                                                                    ,The Tesla Model S P100D - Chris Harris Drives - Top Gear                                                                                                                                                                                                       ,2017-12-08 12:00:03
tnCbI51JpAM                                                                                                                                                                                                                                                    ,PlayStation Presents - PSX 2017 Opening Celebration | English                                                                                                                                                                                                  ,2017-12-09 07:55:02
oQx3h5D9pwg                                                                                                                                                                                                                                                    ,The Voidz initiate Julian (band name change/album announce)                                                                                                                                                                                                    ,2017-12-08 15:16:05
bye513KciIk                                                                                                                                                                                                                                                    ,Gwen Stefani Talks Moving in with Blake Shelton                                                                                                                                                                                                                ,2017-12-08 14:00:22
HKIIgYFhQlE                                                                                                                                                                                                                                                    ,G-Eazy - Sober (Audio) ft. Charlie Puth                                                                                                                                                                                                                        ,2017-12-08 05:00:01
FJgx-_eGRh0                                                                                                                                                                                                                                                    ,Michelle Visage (official) // Silent Night // Christmas Queens 3                                                                                                                                                                                               ,2017-12-07 23:02:33
wLZIWQnACjc                                                                                                                                                                                                                                                    ,Niall Horan: Too Much to Ask                                                                                                                                                                                                                                   ,2017-12-08 06:09:48
60Qi7Zv6Wbg                                                                                                                                                                                                                                                    ,Dinah Jane & Leona Lewis - Christmas Medley                                                                                                                                                                                                                    ,2017-12-07 15:53:15
7I1H0ABg4oY                                                                                                                                                                                                                                                    ,Tom Clancy’s Ghost Recon Wildlands: Ghost War – Update #2 – Jungle Storm | Ubisoft [US]                                                                                                                                                                        ,2017-12-08 15:05:04
Wff1pf2EdS4                                                                                                                                                                                                                                                    ,Liam Payne - Bedroom Floor (Live Acoustic)                                                                                                                                                                                                                     ,2017-12-08 00:01:01
TKc65We4Yhs                                                                                                                                                                                                                                                    ,Day of the Dead: Bloodline Red-Band Trailer (2018)                                                                                                                                                                                                             ,2017-12-06 09:00:04
zhbjf49Lv9o                                                                                                                                                                                                                                                    ,Camila Cabello teases what to expect on her new album                                                                                                                                                                                                          ,2017-12-07 16:38:42
3XIV3mfc8S0                                                                                                                                                                                                                                                    ,Tiger Woods extended highlights | Round 4 | Hero                                                                                                                                                                                                               ,2017-12-03 20:45:44
EA5Tn5Gw_8s                                                                                                                                                                                                                                                    ,Lissie - Blood and Muscle                                                                                                                                                                                                                                      ,2017-12-01 16:00:01
cSp1dM2Vj48                                                                                                                                                                                                                                                    ,READY PLAYER ONE - Official Trailer 1 [HD]                                                                                                                                                                                                                     ,2017-12-10 18:00:17
A8HLnDP6uRM                                                                                                                                                                                                                                                    ,Visit with Santa Cold Open - SNL                                                                                                                                                                                                                               ,2017-12-10 08:30:47
QPn3lUhzaqM                                                                                                                                                                                                                                                    ,Half in the Bag Episode 136: The Disaster Artist                                                                                                                                                                                                               ,2017-12-10 20:09:18
inZzcTXYowY                                                                                                                                                                                                                                                    ,Louis Tomlinson - Miss You (Official Video)                                                                                                                                                                                                                    ,2017-12-08 16:00:04
rEzEGto67Jw                                                                                                                                                                                                                                                    ,Trump holds rally in Florida                                                                                                                                                                                                                                   ,2017-12-09 03:21:21
5c7FL9QV1bs                                                                                                                                                                                                                                                    ,The Moclans Teach Ed How To Play Latchcomb | Season 1 Ep. 12 | THE ORVILLE                                                                                                                                                                                     ,2017-12-08 02:00:46
fOfIObhGMe0                                                                                                                                                                                                                                                    ,JuJu Smith-Schuster Vicious Block on Vontaze Burfict | Steelers vs. Bengals | NFL                                                                                                                                                                              ,2017-12-05 04:32:34
aJJcVyiZT0U                                                                                                                                                                                                                                                    ,The best bike ride in Majorca !                                                                                                                                                                                                                                ,2017-12-02 19:52:41
khPLWaBioOs                                                                                                                                                                                                                                                    ,Logan Paul - SANTA DISS TRACK (Official Music Video)                                                                                                                                                                                                           ,2017-12-10 21:32:44
YBT_rfVxY5A                                                                                                                                                                                                                                                    ,HUGE Lush Haul & Baby Sphynx Cuddles | Vlogmas Days 8 To 10                                                                                                                                                                                                    ,2017-12-11 15:00:06
TOeWI-HClI8                                                                                                                                                                                                                                                    ,NASTY SURPRISE & AMAZING NIGHT OUT | VLOGMAS                                                                                                                                                                                                                   ,2017-12-11 16:00:02
-GvVeT7pNT8                                                                                                                                                                                                                                                    ,DAY 11: Gigi Hadid by Phil Poynter #LOVEADVENT2017                                                                                                                                                                                                             ,2017-12-11 08:30:00
rRzxEiBLQCA                                                                                                                                                                                                                                                    ,TWICE Heart Shaker M/V                                                                                                                                                                                                                                         ,2017-12-11 08:59:59
RdMWIgZIPD8                                                                                                                                                                                                                                                    ,【公式】劇場版ポケットモンスター ２０１８　特報                                                                                                                                                                                                                                       ,2017-12-11 01:00:00
ii3n7hYQOl4                                                                                                                                                                                                                                                    ,SPIDER-MAN: INTO THE SPIDER-VERSE - Official Teaser Trailer                                                                                                                                                                                                    ,2017-12-09 18:38:08
8CdP3MbrIZk                                                                                                                                                                                                                                                    ,"K. Michelle Keeps It Real On Butt Shots, Insecurities & Calls Out Uncle Murda                                                                                                                                                                                  ",2017-12-11 14:14:27
rTKaXaPIfG8                                                                                                                                                                                                                                                    ,"Dear YouTube, We Lost A Family Member... (RIP MacKenzie)                                                                                                                                                                                                       ",2017-12-09 21:23:34
